AR;Rendsburg;Rendsburg;Bf
ARAL;Hamburg-Rahlstedt;Hmb-Rahlstedt;Bf
ARALB;Hamburg-Rahlstedt Bbf;Hmb-Rahl Bbf;Bft
ARAT;Ratekau;Ratekau;Bf
ARD;Reinfeld (Holst);Reinfeld (Holst);Bf
ARF;Ratzeburg;Ratzeburg;Bf
ARIS;Hamburg-Rissen;Rissen;Bf
AROG;Rotenburg (Wümme);Rotenburg(Wümme);Bf
ARS;Raisdorf;Raisdorf;Bf
ARSM;Rendsburg-Seemühlen;Rendsb-Seemühlen;NE-Bf
ARSW;Raisdorf West;Raisdorf West;Awanst
ARWD;Ruschwedel;Ruschwedel;NE-Hp
AS;Sottrum;Sottrum;Bf
ASAG;Sagehorn;Sagehorn;Bf
ASAZ;Scharbeutz;Scharbeutz;Bf
ASB;Bad Segeberg;Bad Segeberg;Bf
ASCA;Bad Schwartau Abzw;B Schwart Abzw;Abzw
ASCB;Schönberg (Holst);Schönberg(Holst);NE-Bf
ASCK;Schönkirchen;Schönkirchen;NE-Bf
ASCS;Schönberger Strand;Schönbger Strand;NE-Bf
ASD;St Michaelisdonn;St Michaelisdonn;Bf
ASDC;Brunsbüttel Condea;Condea;Anst
ASDF;Hamburg-Sülldorf;Sülldorf;Bf
ASDN;Schneverdingen;Schneverdingen;Bf
ASDS;Stedesand;Stedesand;Bf
ASE;Hamburg Süderelbbrücke;Süderelbbrücke;Bft Abzw
ASGR;Scheggerott;Scheggerott;NE-Bf
ASHS;Hamburg-Stadthausbrücke;Stadthausbrücke;Bft
ASIT;Sittensen;Sittensen;NE-Bf
ASL;Scheeßel;Scheeßel;Bf
ASLD;Hamburg-Schnelsen Süd;Hmb-SchnelsenSüd;NE-Bft
ASLI;Selsingen;Selsingen;NE-Bf
ASLL;Sellstedt;Sellstedt;NE-Hp
ASLS;Hamburg-Schnelsen;Hmb-Schnelsen;NE-Bft
ASM;St Margarethen (Holst);St Margarethen;Anst
ASOE;Sörup;Sörup;Bf
ASPS;Sparrieshoop;Sparrieshoop;NE-Bf
ASSD;Stadersand;Stadersand;Anst
ASST;Hamburg Sternschanze (S-Bahn);Sternschanze SB;Bf
AST;Stade;Stade;Bf
ASTE;Stelle;Stelle;Bf
ASTK;Strukkamp;Strukkamp;Bf
ASTL;Hamburg-Stellingen Langenfelde (AKN);Stell Lgf AKN;NE-Bft
ASTR;Strecknitz;Strecknitz;Abzw
ASU;Suchsdorf;Suchsdorf;Bf
ASU N;Suchsdorf NE;Suchsdorf NE;NE-Bft
ASUE;Süderbrarup;Süderbrarup;Bf
ASW;Schleswig;Schleswig;Bf
ASWA;Schwarzenbek;Schwarzenbek;Bf
ASY;Schuby;Schuby;Awanst
ATAK;Tanneneck;Tanneneck;NE-Bft
ATG;Tönning;Tönning;Bf
ATIM;Timmendorfer Strand;Timmend Strand;Bf
ATIT;Tiste;Tiste;NE-Bf
ATK;Hamburg-Tiefstack;Tiefstack;Bft
ATM;Tornesch;Tornesch;Bf
ATST;Tostedt;Tostedt;Bf
ATSW;Tostedt West;Tostedt West;NE-Bf
AUB;Henstedt-Ulzburg;Henstedt-Ulzburg;NE-Bf
AUBS;Ulzburg Süd;Ulzburg Süd;NE-Bf
AUP;Uphusum;Uphusum;NE-Hp
AUTS;Uetersen;Uetersen;NE-Bf
AVL;Hamburg-Veddel;Veddel;Abzw
AVSL;Voßloch;Voßloch;NE-Hp
AWAF;Waffensen;Waffensen;NE-Bf
AWDH;Lüchow Wendland;Wendland;Anst
AWFS;Hamburg-Wilhelmsburg (S-Bahn);Wilhelmsburg SB;Bf
AWGR;Wagersrott;Wagersrott;NE-Hp
AWHD;Wehdel;Wehdel;NE-Hp
AWHO;Hamburg-Waltershof;Hmb-Waltershof;Bft
AWHOD;Hamburg-Waltershof Dradenau;Dradenau;NE-Bft
AWHOH;Hamburg-Waltershof Hansaport;Hansaport;NE-Bft
AWHOM;Hamburg-Waltershof Mühlenwerder;Mühlenwerder;NE-Bft
AWHOO;Altenwerder Ost;Altenwerder Ost;NE-Bft
AWHOS;Hamburg-Waltershof Alte Süderelbe;Alte Süderelbe;NE-Bft
AWI;Winsen (Luhe);Winsen (Luhe);Bf
AWIR;Wilster;Wilster;Bf
AWL;Wedel (Holst);Wedel (Holst);Bf
AWLA;Westerland (Sylt);Westerland(Sylt);Bf
AWLAU;Westerland Autozug;Westerland Autoz;NE-Bft
AWLB;Hamburg-Wilhelmsburg;Hmb-Wilhelmsbg;Bf
AWLBA;Hamburg-Wilhelmsburg Abzw;Hmb-Wlb Abzw;Bft Abzw
AWLBS;Hamburg-Wilhelmsburg Abzw S-Bahn;Hmb-Wlb Abzw S-B;Bft Abzw
AWLF;Wohltorf;Wohltorf;Bf
AWMD;Wiemersdorf;Wiemersdorf;NE-Bf
AWN;Hamburg-Wandsbek;Hamburg-Wandsbek;Bf
AWN F;Hamburg-Wandsbek Wf;Hmb-Wandsbek Wf;Bft
AWPW;Worpswede;Worpswede;NE-Bf
AWR;Schwartau Waldhalle;Schwart Waldh;Abzw
AWRZ;Weertzen;Weertzen;NE-Bf
AWST;Wrist;Wrist;Bf
AWYM;Weyermoor;Weyermoor;NE-Hp
AWYU;Weyerdeelen-Umbeck;Weyerdeelen-Umb;NE-Bf
AZN;Zeven (Han);Zeven (Han);NE-Bf
AZNB;Zeven Aspe;Zeven Aspe;NE-Bft
AZNN;Zeven Nord;Zeven Nord;NE-Bf
AZNS;Zeven Süd;Zeven Süd;NE-Bf
BABO;Bergfelde Ost;Bergfelde Ost;Abzw
BACO;Diepensee Abzw Cargo;Diepensee C;Bft Abzw
BAD;Altdöbern;Altdöbern;Bf
BADS;Altdöbern Süd;Altdöbern Süd;Abzw
BAF;Ahrensfelde S-Bahn;Ahrensfelde S-B;Bf
BAFI;Finkenkrug (Afi);Finkenkrug (Afi);Abzw
BAG;Glasower Damm;Glasower Damm;Abzw
BAG N;Glasower Damm Nord;Glasow Damm Nord;Abzw
BAG O;Glasower Damm Ost;Glasow Damm Ost;Abzw
BAG W;Glasower Damm West;Glasow Damm West;Abzw
BAGL;Berlin-Altglienicke;Altglienicke;Bf
BAHG;Berlin Anhalter Gbf;Bln Anh Gbf;Bf
BAHR;Ahrensfelde;Ahrensfelde;Bf
BAHU;Berlin Anhalter Bf;Berlin Anhalt.Bf;Bft
BAKB;Kienberg;Kienberg;Awanst
BAKO;Berlin-Karow Ost;Bln-Karow Ost;Abzw
BAKS;Berlin-Karow West S-Bahn;Bln-Karow W S-B;Abzw
BAKS;Berlin-Karow West S-Bahn;Bln-Karow W S-B;Abzw
BAKW;Berlin-Karow West;Bln-Karow West;Abzw
BALX;Berlin Alexanderplatz S-Bahn;Alexanderplatz;Bf
BARF;Berlin Alt Reinickendorf;Alt Reinickend;Bft
BARK;Berlin Arkenberge;Arkenberge;Bf
BASC;Selchow West;Selchow West;Abzw
BASS;Selchow Süd;Selchow Süd;Abzw
BATS;Berlin Attilastraße;Attilastraße;Bf
BATSO;Berlin Attilastr Oilt (Bft);Attilastr Oilt;Bft
BAWF;Wustermark Awf;Wustermark Awf;Abzw
BAWP;Potsdam Wildpark West;Wildpark West;Abzw
BAWS;Wiesenau (Abzw);Wiesenau;Abzw
BBA;Baruth (Mark);Baruth (Mark);Bf
BBAB;Potsdam-Babelsberg;Babelsberg;Bft
BBAS;Basdorf;Basdorf;NE-Bf
BBDS;Bohnsdorf Süd;Bohnsdorf Süd;Abzw
BBDW;Bohnsdorf West;Bohnsdorf West;Abzw
BBE;Beutersitz;Beutersitz;Bf
BBEA;Beelitz Bea;Beelitz Bea;Abzw
BBEL;Beelitz Heilstätten;Beelitz Heilst;Bf
BBER;Bernau (b Berlin) S-Bahn;Bernau S-B;Bf
BBES;Beeskow;Beeskow;Bf
BBEU;Berlin Beusselstraße;Beusselstraße;Bf
BBF;Blankenfelde (Kr Teltow-Fläming);Blankenfelde;Bf
BBG;Bagenz;Bagenz;Bf
BBGN;Birkengrund;Birkengrund;Bf
BBGS;Birkengrund Süd;Birkengrund Süd;Bft Abzw
BBGT;Berlin Botanischer Garten;Botanisch.Garten;Bf
BBHZ;Berlin-Buchholz S-Bahn;Bln-Buchholz;Bf
BBI;Birkenwerder (b Berlin);Birkenwerd b Bln;Bf
BBI N;Birkenwerder Nord;Birkenwerder N;Bft
BBIG;Bad Belzig;Bad Belzig;Bf
BBIK;Biesdorfer Kreuz;Biesdorfer Kreuz;Abzw
BBIKL;Biesdorfer Kreuz Süd-Ost;Biesdf Kr SO;Abzw
BBIKM;Biesdorfer Kreuz Mitte;Biesdf Kr Mitte;Abzw
BBIKO;Biesdorfer Kreuz Ost;Biesdf Kr Ost;Abzw
BBIKS;Biesdorfer Kreuz Süd;Biesdf Kr Süd;Abzw
BBIKV;Biesdorfer Kreuz Süd-West;Biesdf Kr SW;Abzw
BBIKW;Biesdorfer Kreuz West;Biesdf Kr West;Abzw
BBIW;Birkenwerder (b Berlin) S-Bahn;Birkenwerder S-B;Bft
BBK;Borkheide;Borkheide;Bf
BBKB;Berlin-Blankenburg;Bln-Blankenburg;Bf
BBKN;Biesdorfer Kreuz Nord;Biesdf Kr Nord;Bf
BBKR;Berkenbrück;Berkenbrück;Bf
